experiment,Line-Treatment,DT inflection,StDev_inf,DT interval,StDev_int,Lab strain,Strain,Treatment,Strain*Treatment,Time_0,Time_0.5,Time_1,Time_1.5,Time_2,Time_2.5,Time_3,Time_3.5,Time_4,Time_4.5,Time_5,Time_5.5,Time_6,Time_6.5,Time_7,Time_7.5,Time_8,Time_8.5,Time_9,Time_9.5,Time_10,Time_10.5,Time_11,Time_11.5,Time_12,Time_12.5,Time_13,Time_13.5,Time_14,Time_14.5,Time_15,Time_15.5,Time_16,Time_16.5,Time_17,Time_17.5,Time_18,Time_18.5,Time_19,Time_19.5,Time_20
original data.xls SET 4 HIGH RAPA,WT-vehicle,71.95654991,1.083064592,74.76842237,2.232197617,BY4743,BY4743,1% DMSO,BY4743*1% DMSO,0,0.038,0.040333333,0.045666667,0.054,0.067666667,0.087333333,0.115666667,0.15,0.201,0.264,0.348333333,0.451,0.564,0.689,0.814333333,0.919,0.998666667,1.051,1.069,1.074666667,1.079333333,1.089666667,1.099,1.108333333,1.118,1.128,1.139,1.151,1.162,1.175,1.186666667,1.200666667,1.212666667,1.225,1.239,1.253,1.264333333,1.276333333,1.290333333,1.302666667
original data.xls SET 4 HIGH RAPA,WT-20 ng/ml RAPA,260.0471278,11.56915258,470.2585781,21.28350348,BY4743,BY4743,20 ng/mL RAPA,BY4743*20 ng/mL RAPA,0,0.038333333,0.042,0.048666667,0.054,0.059,0.064,0.068666667,0.074,0.081,0.086666667,0.093,0.100666667,0.108666667,0.116,0.123666667,0.131,0.14,0.15,0.158,0.168,0.178,0.188,0.198666667,0.211333333,0.221333333,0.231666667,0.244666667,0.256333333,0.269333333,0.281333333,0.293666667,0.308333333,0.320333333,0.333,0.346,0.362,0.376333333,0.389,0.405666667,0.421
original data.xls SET 4 HIGH RAPA,YML 683-vehicle,58.952267,3.133462335,72.28740088,6.102755896,yML 683,Y6.5,1% DMSO,Y6.5*1% DMSO,0,0.032,0.021,0.034,0.033333333,0.052666667,0.087333333,0.109333333,0.138333333,0.183333333,0.228,0.317,0.418,0.540666667,0.69,0.844,0.987666667,1.118,1.194333333,1.240333333,1.268,1.297,1.332,1.367,1.398333333,1.427333333,1.456,1.483,1.509,1.532666667,1.551666667,1.567,1.585,1.599333333,1.617,1.628333333,1.642,1.651666667,1.659666667,1.669666667,1.678666667
original data.xls SET 4 HIGH RAPA,YML 683-20 ng/ml RAPA,88.40851988,5.089247942,214.5817703,59.40102741,yML 683,Y6.5,20 ng/mL RAPA,Y6.5*20 ng/mL RAPA,0,0.043333333,0.035666667,0.061666667,0.057666667,0.079,0.11,0.118,0.148666667,0.181666667,0.203,0.247666667,0.271333333,0.323,0.378,0.414,0.457,0.536333333,0.594666667,0.667333333,0.747333333,0.823666667,0.894,0.977666667,1.032666667,1.093666667,1.156666667,1.204,1.262,1.306666667,1.358,1.398333333,1.441666667,1.475666667,1.508666667,1.530666667,1.547666667,1.564666667,1.575,1.588333333,1.602
original data.xls SET 4 HIGH RAPA,YML 684-vehicle,70.48244979,5.826415592,86.78175696,2.953223611,yML 684,Q62.5,1% DMSO,Q62.5*1% DMSO,0,0.043333333,0.037666667,0.04,0.031333333,0.044666667,0.075333333,0.105666667,0.154333333,0.199,0.251333333,0.329,0.421333333,0.530666667,0.670666667,0.822333333,0.965,1.091,1.157666667,1.177,1.201333333,1.232,1.268666667,1.306666667,1.338333333,1.367333333,1.397333333,1.426666667,1.455333333,1.481666667,1.501,1.519333333,1.540333333,1.559333333,1.577,1.589,1.603333333,1.616,1.626333333,1.636,1.651
original data.xls SET 4 HIGH RAPA,YML 684-20 ng/ml RAPA,79.32521822,22.90892573,244.8064985,58.22319901,yML 684,Q62.5,20 ng/mL RAPA,Q62.5*20 ng/mL RAPA,0,0.046,0.041,0.046666667,0.044666667,0.052333333,0.067666667,0.087333333,0.103666667,0.119,0.150333333,0.174666667,0.186666667,0.233666667,0.252,0.353,0.378666667,0.441333333,0.493,0.55,0.615,0.674,0.737666667,0.792333333,0.845666667,0.902,0.964333333,1.095,1.162,1.219333333,1.279333333,1.333333333,1.385,1.422,1.450333333,1.471666667,1.492333333,1.512,1.526666667,1.545,1.56
original data.xls SET 4 HIGH RAPA,YML 685-vehicle,55.04657745,19.2212066,84.28419238,9.266887535,yML 685,Q89.8,1% DMSO,Q89.8*1% DMSO,0,0.043,0.036,0.042,0.04,0.052,0.092666667,0.114,0.165333333,0.218,0.266333333,0.359333333,0.461666667,0.577666667,0.727333333,0.886,1.021,1.142333333,1.168,1.196333333,1.218,1.252,1.287666667,1.325333333,1.356,1.384333333,1.417333333,1.447666667,1.479333333,1.505,1.525333333,1.545666667,1.567666667,1.584333333,1.605,1.621666667,1.634666667,1.647666667,1.659666667,1.670666667,1.685333333
original data.xls SET 4 HIGH RAPA,YML 685-20 ng/ml RAPA,74.63385822,47.11330854,169.1567559,6.199130748,yML 685,Q89.8,20 ng/mL RAPA,Q89.8*20 ng/mL RAPA,0,0.049,0.042666667,0.052,0.052666667,0.053,0.066,0.070666667,0.095,0.107333333,0.128,0.145,0.165666667,0.196666667,0.230666667,0.263333333,0.338333333,0.396333333,0.546666667,0.631,0.738333333,0.807,0.880666667,0.967666667,1.041,1.105666667,1.182,1.231333333,1.305,1.351666667,1.418333333,1.45,1.490666667,1.508333333,1.535,1.551,1.577,1.588,1.598333333,1.616,1.622666667
original data.xls SET 4 HIGH RAPA,YML 686-vehicle,100.2789612,13.6193015,176.5338372,15.52145421,yML 686,KPN3828,1% DMSO,KPN3828*1% DMSO,0,0.001666667,0.001333333,0.016333333,0.018,0.014333333,0.021666667,0.030666667,0.039,0.057333333,0.068333333,0.084666667,0.099333333,0.114333333,0.129666667,0.156,0.178,0.209333333,0.231333333,0.258333333,0.289,0.324666667,0.372666667,0.427666667,0.457,0.51,0.566666667,0.616333333,0.638333333,0.648333333,0.675333333,0.653666667,0.683666667,0.672333333,0.717666667,0.746,0.753333333,0.806666667,0.840333333,0.896333333,0.91
original data.xls SET 4 HIGH RAPA,YML 686-20 ng/ml RAPA,75.60942107,15.66855005,401.1442063,297.2713354,yML 686,KPN3828,20 ng/mL RAPA,KPN3828*20 ng/mL RAPA,0,0.003666667,0.003,0.028333333,0.029666667,0.037333333,0.044666667,0.044666667,0.056333333,0.065333333,0.083,0.092,0.105666667,0.121333333,0.143666667,0.156,0.177,0.189,0.214333333,0.25,0.254333333,0.277,0.341333333,0.398333333,0.404,0.441666667,0.515333333,0.547333333,0.618333333,0.630333333,0.643666667,0.701333333,0.747,0.783333333,0.787666667,0.851333333,0.872,0.914333333,0.904,0.916666667,1.049333333
